,time,value,target_prob,timeout,gap,status,id,path,unknown_fraction
0,0.07180309295654297,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,0
0,1.454874038696289,0.0,0.5,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_6_it_0.pickle,1
0,1.1962621212005615,0.0,0.7,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,1
0,0.9906980991363525,0.0,0.4,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,1
0,1.2411439418792725,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,1
0,1.0896100997924805,0.0,0.5,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,1
0,1.0805630683898926,0.0,0.7,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,1
0,1.3369510173797607,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,1
0,1.3809969425201416,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,1
0,0.8839659690856934,0.0,0.4,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,1
0,1.690100908279419,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,1
0,1.316680908203125,0.0,0.6,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,1
0,0.9600260257720947,0.0,0.5,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,1
0,1.578535795211792,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_7_it_0.pickle,1
0,1.3466989994049072,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_8_it_0.pickle,1
0,1.0611751079559326,0.0,0.6,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,1
0,1.0476739406585693,0.0,0.7,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,1
0,1.1355421543121338,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,1
